DEBUG:root:idx_keep count:443
DEBUG:root:x_l:(100, 443), y_l:(100, 10), x_u:(49900, 443), y_(49900, 10)
DEBUG:root:num batches:250.0, batch_size:200,  num_lab_batch 100, num_ulab_batch:100, epochs:1200
DEBUG:root:labeled + unlabeled loss
DEBUG:root:Training Auxiliary VAE:
DEBUG:root:Iteration: 12501, Training Loss: -2398849 Acc:0.9 marg_lik: -67392872.0  Validation Acc:0.4571 marg_lik: -155579561.2 , 
DEBUG:root:Iteration: 12601, Training Loss: -1405819 Acc:0.89 marg_lik: -9371570.0  Validation Acc:0.4446 marg_lik: -46702456.14 , 
DEBUG:root:Iteration: 12701, Training Loss: -756509 Acc:0.83 marg_lik: -122708424.0  Validation Acc:0.4337 marg_lik: -99498270.04 , 
DEBUG:root:Iteration: 12801, Training Loss: -1707986 Acc:0.83 marg_lik: -12820536.0  Validation Acc:0.4237 marg_lik: -38069453.22 , 
DEBUG:root:Iteration: 12901, Training Loss: -1768236 Acc:0.48 marg_lik: -99575552.0  Validation Acc:0.3713 marg_lik: -104714688.34 , 
DEBUG:root:Iteration: 13001, Training Loss: -1187875 Acc:0.92 marg_lik: -50508724.0  Validation Acc:0.4419 marg_lik: -45980044.1 , 
DEBUG:root:Iteration: 13101, Training Loss: -2160280 Acc:1.0 marg_lik: 168776.375  Validation Acc:0.4661 marg_lik: -50746407.68 , 
DEBUG:root:Iteration: 13201, Training Loss: -2316714 Acc:0.99 marg_lik: -90658936.0  Validation Acc:0.5301 marg_lik: -68486411.52 , 
DEBUG:root:Iteration: 13301, Training Loss: -2153214 Acc:1.0 marg_lik: -11128770.0  Validation Acc:0.5264 marg_lik: -69819418.28 , 
DEBUG:root:Iteration: 13401, Training Loss: -1857956 Acc:1.0 marg_lik: -10088915.0  Validation Acc:0.5338 marg_lik: -46051750.12 , 
DEBUG:root:Iteration: 13501, Training Loss: -2550519 Acc:1.0 marg_lik: -23870632.0  Validation Acc:0.5629 marg_lik: -88566571.46 , 
DEBUG:root:Iteration: 13601, Training Loss: -1059423 Acc:1.0 marg_lik: -4676659.5  Validation Acc:0.5915 marg_lik: -45416348.28 , 
DEBUG:root:Iteration: 13701, Training Loss: -2203639 Acc:1.0 marg_lik: -15878008.0  Validation Acc:0.5569 marg_lik: -107811984.42 , 
DEBUG:root:Iteration: 13801, Training Loss: -1598972 Acc:1.0 marg_lik: -14729587.0  Validation Acc:0.5521 marg_lik: -81513282.42 , 
DEBUG:root:Iteration: 13901, Training Loss: -1142611 Acc:1.0 marg_lik: -7550799.0  Validation Acc:0.5743 marg_lik: -58018549.6 , 
DEBUG:root:Iteration: 14001, Training Loss: -2416942 Acc:1.0 marg_lik: -81177216.0  Validation Acc:0.5789 marg_lik: -125886618.42 , 
DEBUG:root:Iteration: 14101, Training Loss: -890119 Acc:0.96 marg_lik: -19753784.0  Validation Acc:0.5546 marg_lik: -28666379.9 , 
DEBUG:root:Iteration: 14201, Training Loss: -1854329 Acc:0.88 marg_lik: -17239152.0  Validation Acc:0.5727 marg_lik: -32793551.48 , 
DEBUG:root:Iteration: 14301, Training Loss: -1883238 Acc:0.96 marg_lik: -71278984.0  Validation Acc:0.5691 marg_lik: -55433856.18 , 
DEBUG:root:Iteration: 14401, Training Loss: -2273535 Acc:1.0 marg_lik: 526493.875  Validation Acc:0.6013 marg_lik: -47034869.08 , 
DEBUG:root:Iteration: 14501, Training Loss: -1875343 Acc:1.0 marg_lik: -12693341.0  Validation Acc:0.6142 marg_lik: -114026912.14 , 
DEBUG:root:Iteration: 14601, Training Loss: -2017579 Acc:1.0 marg_lik: -37228792.0  Validation Acc:0.596 marg_lik: -36300111.66 , 
DEBUG:root:Iteration: 14701, Training Loss: -1421607 Acc:0.9 marg_lik: -37259240.0  Validation Acc:0.5968 marg_lik: -44297391.56 , 
DEBUG:root:Iteration: 14801, Training Loss: -2486572 Acc:0.78 marg_lik: -55560316.0  Validation Acc:0.6047 marg_lik: -78514814.68 , 
DEBUG:root:Iteration: 14901, Training Loss: -2090065 Acc:1.0 marg_lik: 1520864.625  Validation Acc:0.5937 marg_lik: -156266788.36 , 
DEBUG:root:Iteration: 15001, Training Loss: -2033536 Acc:0.9 marg_lik: -25294250.0  Validation Acc:0.5849 marg_lik: -44882099.6 , 
